id	filename	name	category
1	hanauma-bay-nature-preserve	Hanauma Bay Nature Preserve	beaches
2	sandy-beach-park	Sandy Beach Park	beaches
3	kuhio-beach-ponds	Kuhio Beach Ponds	beaches
4	duke-kahanamoku-lagoon	Duke Kahanamoku Lagoon	beaches
5	ala-moana-beach-park	Ala Moana Beach Park	beaches
6	waialae-beach-park-kahala-beach	Waialae Beach Park (Kahala Beach)	beaches
7	maunalua-bay-beach-park	Maunalua Bay Beach Park	beaches
8	kailua-beach-park	Kailua Beach Park	beaches
9	lanikai-beach	Lanikai Beach	beaches
10	waimanalo-beach	Waimanalo Beach	beaches
11	ko-olina-lagoons	Ko Olina Lagoons	beaches
12	bellows-field-beach-park	Bellows Field Beach Park	beaches
13	kuliouou-beach-park	Kuliouou Beach Park	beaches
14	shark-s-cove	Shark's Cove	beaches
15	halona-beach-cove-eternity-beach	Halona Beach Cove (Eternity Beach)	beaches
20	makapuu-lighthouse-trail	Makapuu Lighthouse Trail	hikes
21	diamond-head-summit-trail	Diamond Head Summit Trail	hikes
22	koko-crater-botanical-garden-loop	Koko Crater Botanical Garden Loop	hikes
23	kawainui-marsh-path	Kawainui Marsh Path	hikes
24	hoomaluhia-botanical-garden	Hoomaluhia Botanical Garden	hikes
25	waimea-valley-walk-to-waterfall	Waimea Valley Walk to Waterfall	hikes
26	lanikai-pillbox-hike-kaiwa-ridge	Lanikai Pillbox Hike (Kaiwa Ridge)	hikes
27	likeke-falls	Likeke Falls	hikes
28	manoa-falls-trail	Manoa Falls Trail	hikes
29	ka-iwi-shoreline-trail	Ka'iwi Shoreline Trail	hikes
30	foster-botanical-garden	Foster Botanical Garden	hikes
31	judd-trail-jackass-ginger-pool	Judd Trail (Jackass Ginger Pool)	hikes
32	kapiolani-park-loop	Kapiolani Park Loop	hikes
40	mud-hen-water	Mud Hen Water	dining
41	olive-tree-cafe	Olive Tree Cafe	dining
42	kona-brewing-co	Kona Brewing Co.	dining
43	koko-head-cafe	Koko Head Cafe	dining
44	cafe-maharani	Cafe Maharani	dining
45	the-pig-and-the-lady	The Pig and the Lady	dining
46	rainbow-drive-in	Rainbow Drive-In	dining
47	teddy-s-bigger-burgers	Teddy's Bigger Burgers	dining
48	moena-cafe	Moena Cafe	dining
49	plumeria-beach-house	Plumeria Beach House	dining
50	helena-s-hawaiian-food	Helena's Hawaiian Food	dining
51	side-street-inn	Side Street Inn	dining
52	pioneer-saloon	Pioneer Saloon	dining
60	giovanni-s-shrimp-truck	Giovanni's Shrimp Truck	foodtrucks
61	big-wave-shrimp	Big Wave Shrimp	foodtrucks
62	mike-s-huli-chicken	Mike's Huli Chicken	foodtrucks
63	romy-s-kahuku-prawns	Romy's Kahuku Prawns	foodtrucks
64	uncle-clay-s-house-of-pure-aloha	Uncle Clay's House of Pure Aloha	foodtrucks
65	ono-steaks-and-shrimp-shack	Ono Steaks and Shrimp Shack	foodtrucks
66	ted-s-bakery	Ted's Bakery	foodtrucks
67	haleiwa-bowls	Haleiwa Bowls	foodtrucks
68	waiahole-poi-factory	Waiahole Poi Factory	foodtrucks
69	north-shore-crepes-cafe	North Shore Crepes Cafe	foodtrucks
70	kahai-street-kitchen	Kahai Street Kitchen	foodtrucks
80	atlantis-submarine	Atlantis Submarine	adventures
81	holokai-catamaran	Holokai Catamaran	adventures
82	surfing-lessons-waikiki	Surfing Lessons (Waikiki)	adventures
83	kayaking-to-mokulua-islands	Kayaking to Mokulua Islands	adventures
84	kualoa-ranch	Kualoa Ranch	adventures
85	coral-crater-adventure-park	Coral Crater Adventure Park	adventures
86	horseback-riding-turtle-bay	Horseback Riding - Turtle Bay	adventures
87	gunstock-ranch	Gunstock Ranch	adventures
88	wet-n-wild-hawaii	Wet 'n' Wild Hawaii	adventures
89	sea-life-park-dolphin-encounters	Sea Life Park - Dolphin Encounters	adventures
90	parasailing	Parasailing	adventures
100	polynesian-cultural-center	Polynesian Cultural Center	cultural
